MonthYear_Date,count
201607,6082811
201503,5855577
201702,5998050
201510,5883047
201611,6009935
201605,6293951
201704,5557788
201602,6124766
201511,5982850
201703,6299464
201507,6070563
201606,6140104
201609,6240361
201709,3722349
201502,1866941
201706,5349574
201610,6273248
201509,6013810
201608,6032528
201512,5639655
201708,5260227
201705,5748404
201707,4997602
201508,5719612
201604,6212362
201506,5174734
201504,5492804
201701,6102254
201601,5921950
201603,6325984
201612,5558197
201505,5215414
